name,price,link_picture,Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (max.),Anzahl Teile,Sicherheitswarnung,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Paketgewicht,ASIN,Vorgeschlagenes Geschlecht_ Junge ,Vorgeschlagenes Geschlecht_ Junge/Mädchen ,Material_ Kunststoff ,Material_nan,Produktfarbe_encoded,Verpackungsart_encoded,Produkttyp_ Bausatz ,Ursprungsland_ China ,Ursprungsland_ Dänemark ,Ursprungsland_ Indonesien ,Ursprungsland_ Thailand ,Ursprungsland_ Tschechische Republik ,Ursprungsland_ Ungarn ,Ursprungsland_ Österreich ,EU_TSD_Warnung_ Keine Warnung zutreffend ,"EU_TSD_Warnung_ Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",EU_TSD_Warnung_ Nicht für Kinder unter 18 Monaten geeignet ,EU_TSD_Warnung_ Nicht für Kinder unter 36 Monaten geeignet ,"EU_TSD_Warnung_ Nicht für Kinder unter 36 Monaten geeignet, Keine Warnung zutreffend ","EU_TSD_Warnung_ Nicht für Kinder unter 36 Monaten geeignet, Nur für häuslichen Gebrauch bestimmt "
LEGO Spider-Man - Hulks und Rhinos Truck-Duell (10782),26.95,https://www.fcw.ch/api/ProcessRequest/136562/BN/268x166-lego-spider-man-hulks-und-rhinos-truck-duell-10782.jpg?sourceId=870295&source=Product,4,99,110, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,262,61,330, B09BNS6J42 ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Technic - Jeep Wrangler (42122),59.95,https://www.fcw.ch/api/ProcessRequest/136164/BN/268x166-lego-technic-jeep-wrangler-42122.jpg?sourceId=861138&source=Product,9,99,665, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,382,70,885, B08G4LZVTW ,0.0,1.0,1.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
LEGO Duplo - Mein erster Tierzug (10955),24.95,https://www.fcw.ch/api/ProcessRequest/136640/BN/268x166-lego-duplo-mein-erster-tierzug-10955.jpg?sourceId=861140&source=Product,1,99,15, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,191,354,91,474, B08GNV163S ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Minecraft - Das Skelettverlies (21189),39.95,https://www.fcw.ch/api/ProcessRequest/148550/BN/268x166-lego-minecraft-das-skelettverlies-21189.jpg?sourceId=874265&source=Product,8,99,364, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,222,262,76,550, B09QFPRVN4 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Spider-Man - Spider-Mans Hauptquartier (10784),59.95,https://www.fcw.ch/api/ProcessRequest/150741/BN/268x166-lego-spider-man-spider-mans-hauptquartier-10784.jpg?sourceId=870297&source=Product,4,99,155, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,382,56,620, B09BNSMW1W ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Friends - Heartlake City Gemeinschaftszentrum (41748),169.0,https://www.fcw.ch/api/ProcessRequest/188478/BN/268x166-lego-friends-heartlake-city-gemeinschaftszentrum-41748.jpg?sourceId=886583&source=Product,9,99,1513, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,582,378,103,2, B009PPR4W8 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Star Wars - Der Mandalorianer und das Kind (75317),26.95,https://www.fcw.ch/api/ProcessRequest/64912/BN/268x166-lego-star-wars-der-mandalorianer-und-das-kind-75317.jpg?sourceId=855838&source=Product,6,99,310, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,282,59,270, B07XBTNVMC ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
LEGO City - Mond-Forschungsbasis (60350),119.0,https://www.fcw.ch/api/ProcessRequest/124881/BN/268x166-lego-city-mond-forschungsbasis-60350.jpg?sourceId=870444&source=Product,7,99,786, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,480,70,1, B09BNT33L5 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
LEGO Ninjago - Jays Donner-Jet EVO (71784),11.95,https://www.fcw.ch/api/ProcessRequest/169659/BN/268x166-lego-ninjago-jays-donner-jet-evo-71784.jpg?sourceId=880356&source=Product,6,99,146, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,191,70,210, B0BBRYZ24S ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Speed Champions - Toyota GR Supra (76901),32.95,https://www.fcw.ch/api/ProcessRequest/136943/BN/268x166-lego-speed-champions-toyota-gr-supra-76901.jpg?sourceId=864224&source=Product,7,99,299, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,262,72,335, B08W8T8LS4 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Friends - Wohnblock (41704),169.0,https://www.fcw.ch/api/ProcessRequest/136888/BN/268x166-lego-friends-wohnblock-41704.jpg?sourceId=870316&source=Product,8,99,1682, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,582,87,2, B09BNRXC54 ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO City - Skaterpark (60364),59.95,https://www.fcw.ch/api/ProcessRequest/188376/BN/268x166-lego-city-skaterpark-60364.jpg?sourceId=886598&source=Product,6,99,454, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,282,480,61,991, B0BPCBF783 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Harry Potter - Hogwarts Kammer des Schreckens (76389),169.0,https://www.fcw.ch/api/ProcessRequest/136130/BN/268x166-lego-harry-potter-hogwarts-kammer-des-schreckens-76389.jpg?sourceId=864255&source=Product,9,99,1176, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,582,87,1, B08WWRJ2QJ ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO City - Ferien-Wohnmobil (60283),24.95,https://www.fcw.ch/api/ProcessRequest/97122/BN/268x166-lego-city-ferien-wohnmobil-60283.jpg?sourceId=861176&source=Product,5,99,190, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,191,262,61,370, B08G4M8J87 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Ninjago - Der Tempel des Kristallkönigs (71771),94.95,https://www.fcw.ch/api/ProcessRequest/139357/BN/268x166-lego-ninjago-der-tempel-des-kristallkoenigs-71771.jpg?sourceId=874219&source=Product,8,99,703, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,354,70,1, B09QFQMBJ6 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Jurassic World - Blue & Beta in der Velociraptor-Falle (76946),46.95,https://www.fcw.ch/api/ProcessRequest/125347/BN/268x166-lego-jurassic-world-blue-beta-in-der-velociraptor-falle-76946.jpg?sourceId=861237&source=Product,6,99,181, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,191,262,61,340, B09BNX11LQ ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Duplo - Wilde Tiere Südamerikas (10973),54.95,https://www.fcw.ch/api/ProcessRequest/139049/BN/268x166-lego-duplo-wilde-tiere-suedamerikas-10973.jpg?sourceId=874164&source=Product,2,99,71, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,282,480,91,1, B09QFX8S39 ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Technic - Chopper (42132),11.95,https://www.fcw.ch/api/ProcessRequest/136834/BN/268x166-lego-technic-chopper-42132.jpg?sourceId=870323&source=Product,7,99,163, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,157,61,170, B09BNZ6VV4 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Minecraft - Die End-Arena (21242),32.95,https://www.fcw.ch/api/ProcessRequest/169447/BN/268x166-lego-minecraft-die-end-arena-21242.jpg?sourceId=880347&source=Product,8,99,252, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,191,262,61,430, B0BBRTBGK6 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Ninjago - Zanes Power-Up-Mech EVO (71761),11.95,https://www.fcw.ch/api/ProcessRequest/137271/BN/268x166-lego-ninjago-zanes-power-up-mech-evo-71761.jpg?sourceId=870357&source=Product,6,99,95, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,191,46,150, B09BNX183W ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Spider-man - Spideys Team-Truck (10791),59.95,https://www.fcw.ch/api/ProcessRequest/177793/BN/268x166-lego-spider-man-spideys-team-truck-10791.jpg?sourceId=880432&source=Product,4,99,187, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,382,56,675, B01N2R5GUJ ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Star Wars™ Adventskalender (75366),46.95,https://www.fcw.ch/api/ProcessRequest/191520/BN/268x166-lego-star-wars-adventskalender-75366.jpg?sourceId=886691&source=Product,6,99,320, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,382,70,401, B0BV79GQVC ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Duplo - Wilde Tiere der Welt (10975),149.0,https://www.fcw.ch/api/ProcessRequest/139038/BN/268x166-lego-duplo-wilde-tiere-der-welt-10975.jpg?sourceId=874166&source=Product,2,99,142, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,480,582,124,3, B09QFYV5X5 ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Gabby's Dollhouse - Gabbys und Meerkätzchens Schiff und Spa (10786),26.95,https://www.fcw.ch/api/ProcessRequest/190863/BN/268x166-lego-gabby-s-dollhouse-gabbys-und-meerkaetzchens-schiff-und-spa-10786.jpg?sourceId=886570&source=Product,4,99,88, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,262,61,257, B01NCISPB7 ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Ninjago - Lloyds legendärer Drache (71766),74.95,https://www.fcw.ch/api/ProcessRequest/135346/BN/268x166-lego-ninjago-lloyds-legendaerer-drache-71766.jpg?sourceId=870361&source=Product,8,99,747, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,282,540,59,940, B09BNWKL53 ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO City - Polizeistation (60316),74.95,https://www.fcw.ch/api/ProcessRequest/136402/BN/268x166-lego-city-polizeistation-60316.jpg?sourceId=870334&source=Product,6,99,668, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,282,540,78,1, B09BNWHBTY ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Creator 3in1 - Majestätischer Tiger (31129),54.95,https://www.fcw.ch/api/ProcessRequest/136613/BN/268x166-lego-creator-3in1-majestaetischer-tiger-31129.jpg?sourceId=870309&source=Product,9,99,755, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,382,56,865, B09BNW4F85 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO City - Elektro-Sportwagen (60383),11.95,https://www.fcw.ch/api/ProcessRequest/169842/BN/268x166-lego-city-elektro-sportwagen-60383.jpg?sourceId=880288&source=Product,5,99,95, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,157,61,150, B0BBRZGFKS ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Harry Potter - Hogwarts: Sirius’ Rettung (76401),59.95,https://www.fcw.ch/api/ProcessRequest/139439/BN/268x166-lego-harry-potter-hogwarts-sirius-rettung-76401.jpg?sourceId=874240&source=Product,8,99,345, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,282,59,552, B09QG5NFST ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Ninjago - Kais Ninja-Rennwagen EVO (71780),11.95,https://www.fcw.ch/api/ProcessRequest/169925/BN/268x166-lego-ninjago-kais-ninja-rennwagen-evo-71780.jpg?sourceId=880351&source=Product,6,99,94, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,191,46,180, B0BBRZYFB9 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Duplo - Polizeistation mit Hubschrauber (10959),54.95,https://www.fcw.ch/api/ProcessRequest/134409/BN/268x166-lego-duplo-polizeistation-mit-hubschrauber-10959.jpg?sourceId=870411&source=Product,2,99,40, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,282,480,91,909, B09BNTMLB5 ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Minecraft - Das Pilzhaus (21179),26.95,https://www.fcw.ch/api/ProcessRequest/136940/BN/268x166-lego-minecraft-das-pilzhaus-21179.jpg?sourceId=870305&source=Product,8,99,272, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,191,262,61,392, B09BNVFBPW ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Friends - Strand-Erlebnispark (41737),119.0,https://www.fcw.ch/api/ProcessRequest/188334/BN/268x166-lego-friends-strand-erlebnispark-41737.jpg?sourceId=886578&source=Product,12,99,1348, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,480,94,2, B0BPCBYBTJ ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Friends - Ferien im Iglu (41760),54.95,https://www.fcw.ch/api/ProcessRequest/191568/BN/268x166-lego-friends-ferien-im-iglu-41760.jpg?sourceId=886588&source=Product,8,99,491, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,382,56,722, B0BV7CKD3S ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Indiana Jones - Flucht vor dem Jagdflugzeug (77012),46.95,https://www.fcw.ch/api/ProcessRequest/188318/BN/268x166-lego-indiana-jones-flucht-vor-dem-jagdflugzeug-77012.jpg?sourceId=886674&source=Product,8,99,387, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,222,262,76,520, B0BV7BS3HL ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Creator - Weißer Hase (31133),24.95,https://www.fcw.ch/api/ProcessRequest/169971/BN/268x166-lego-creator-weisser-hase-31133.jpg?sourceId=880327&source=Product,8,99,258, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,191,262,61,410, B0BBRSLQ4B ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Disney - Annas und Elsas magisches Karussell (43218),26.95,https://www.fcw.ch/api/ProcessRequest/188790/BN/268x166-lego-disney-annas-und-elsas-magisches-karussell-43218.jpg?sourceId=886592&source=Product,6,99,175, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,205,191,61,285, B0BPC4QFWW ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO City - Arktis-Schneemobil (60376),11.95,https://www.fcw.ch/api/ProcessRequest/188645/BN/268x166-lego-city-arktis-schneemobil-60376.jpg?sourceId=886606&source=Product,5,99,70, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,157,45,123, B0BPC8WZL8 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Friends - Heartlake City Gemeinschaftsküche (41747),79.95,https://www.fcw.ch/api/ProcessRequest/188382/BN/268x166-lego-friends-heartlake-city-gemeinschaftskueche-41747.jpg?sourceId=886582&source=Product,8,99,695, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,282,480,61,1, B0BPC9W86T ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Ninjago - Nyas Drachenpower-Spinjitzu-Drift (71778),11.95,https://www.fcw.ch/api/ProcessRequest/188623/BN/268x166-lego-ninjago-nyas-drachenpower-spinjitzu-drift-71778.jpg?sourceId=886694&source=Product,6,99,57, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,195,210,45,90, B0BPCB9HDY ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Star Wars - Death Star Trench Run Diorama (75329)  ,84.95,https://www.fcw.ch/api/ProcessRequest/126329/BN/268x166-lego-star-wars-death-star-trench-run-diorama-75329.jpg?sourceId=870469&source=Product,18,99,665, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,282,76,710, B09BNVY61H ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Duplo - Tierpflege auf dem Bauernhof (10949),11.95,https://www.fcw.ch/api/ProcessRequest/101087/BN/268x166-lego-duplo-tierpflege-auf-dem-bauernhof-10949.jpg?sourceId=861196&source=Product,2,99,11, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,191,70,187, B08GPDXXHP ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Minecraft - Die Fuchs-Lodge (21178),26.95,https://www.fcw.ch/api/ProcessRequest/136843/BN/268x166-lego-minecraft-die-fuchs-lodge-21178.jpg?sourceId=870304&source=Product,8,99,193, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,191,262,61,407, B09BNX79CM ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Star Wars - R2-D2 (75308),269.0,https://www.fcw.ch/api/ProcessRequest/135592/BN/268x166-lego-star-wars-r2-d2-75308.jpg?sourceId=868826&source=Product,18,99,2314, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,582,378,103,2, B093YFCYKF ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO DREAMZzz - Der Weltraumbus von Mr. Oz (71460),99.0,https://www.fcw.ch/api/ProcessRequest/190867/BN/268x166-lego-dreamzzz-der-weltraumbus-von-mr-oz-71460.jpg?sourceId=886646&source=Product,9,99,878, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,282,540,59,1, B0BV7BZKYD ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Star Wars - TIE Bomber (75347),79.95,https://www.fcw.ch/api/ProcessRequest/169594/BN/268x166-lego-star-wars-tie-bomber-75347.jpg?sourceId=880362&source=Product,9,99,625, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,382,70,790, B0BBRZMRDP ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO City - Betonmischer (60325),24.95,https://www.fcw.ch/api/ProcessRequest/187849/BN/268x166-lego-city-betonmischer-60325.jpg?sourceId=870342&source=Product,4,99,85, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,191,262,46,326, B09BNSHH5X ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Harry Potter - Besuch in Hogsmeade (76388),109.0,https://www.fcw.ch/api/ProcessRequest/134937/BN/268x166-lego-harry-potter-besuch-in-hogsmeade-76388.jpg?sourceId=864254&source=Product,8,99,851, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,282,480,74,1, B08WXFFY9F ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Icons - Sukkulenten (10309),69.95,https://www.fcw.ch/api/ProcessRequest/150595/BN/268x166-lego-icons-sukkulenten-10309.jpg?sourceId=879255&source=Product,18,99,771, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,382,56,665, B09BNV7VS1 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO City - Mond-Raumstation (60349),69.95,https://www.fcw.ch/api/ProcessRequest/124588/BN/268x166-lego-city-mond-raumstation-60349.jpg?sourceId=870443&source=Product,6,99,500, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,282,540,59,980, B09BNTFCD9 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
LEGO Friends - Restaurant (41728),36.95,https://www.fcw.ch/api/ProcessRequest/170075/BN/268x166-lego-friends-restaurant-41728.jpg?sourceId=880313&source=Product,6,99,346, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,191,354,59,585, B0BBRS6BS6 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Icons - Optimus Prime (10302),189.0,https://www.fcw.ch/api/ProcessRequest/141721/BN/268x166-lego-icons-optimus-prime-10302.jpg?sourceId=874272&source=Product,18,99,1508, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,480,282,91,1, B09QFX7G1B ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Ninjago - Lloyds Drachenpower-Spinjitzu-Spin (71779),11.95,https://www.fcw.ch/api/ProcessRequest/188343/BN/268x166-lego-ninjago-lloyds-drachenpower-spinjitzu-spin-71779.jpg?sourceId=886695&source=Product,6,99,56, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,195,210,45,90, B0BPC8N7DP ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Friends - Reitschule (41746),36.95,https://www.fcw.ch/api/ProcessRequest/188473/BN/268x166-lego-friends-reitschule-41746.jpg?sourceId=886581&source=Product,4,99,134, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,191,262,61,425, B0BPC4M61X ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Star Wars - Boba Fett’s Starship (75312),59.95,https://www.fcw.ch/api/ProcessRequest/135806/BN/268x166-lego-star-wars-boba-fett-s-starship-75312.jpg?sourceId=864258&source=Product,9,99,593, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,282,76,735, B08WWTPDG2 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO DC - Verfolgungsjagd im Batmobile™: Batman™ vs. Joker™ (76264),32.95,https://www.fcw.ch/api/ProcessRequest/190860/BN/268x166-lego-dc-verfolgungsjagd-im-batmobile-batman-vs-joker-76264.jpg?sourceId=886617&source=Product,4,99,54, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,262,48,225, B0BV7BSWJQ ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Star Wars - Snowtrooper Battle Pack (75320),26.95,https://www.fcw.ch/api/ProcessRequest/136918/BN/268x166-lego-star-wars-snowtrooper-battle-pack-75320.jpg?sourceId=870363&source=Product,6,99,105, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,141,191,46,125, B09BNX9FLF ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
